delete_reason,Human Annotation 
Pindah ke Australia,lokasi
sudah masuk di date lain dengan email lain,Admin
ybs pindah gereja lain,tertanam_di_gereja_lain
akan jarang datang ke date,others
sistem,Admin
Test,Admin
tidak sesuai dengan value DL dan ingin mencari DATE lain,alasan_date
etc,others
Move to Bali,lokasi
ibadah di gereja lain..,tertanam_di_gereja_lain
pindah domisili,lokasi
tidak berkomitmen untuk tertanam di Date Depok 5,others
tidak berkomitmen untuk tertanam di Date Depok 5,others
Pindah Kerja,perbedaan_musim_kehidupan 
seharusnya masih probation,Admin
pindah ke Sydney,lokasi
pindah ke date lain,alasan_date
"kiki merasa ada konflik dgn DM lainnya namun ketika ingin diselesaikan bersama dengan 1 on 1, kiki mengatakan kalau tidak bersedia dan memilih keluar dari DATE. sangat disayangkan namun kami juga telah menyampaikan dan menghormati keputusan ybs",alasan_date
Ingin mencari date baru,alasan_date
other,others
sudah lama tdk pernah hadir dan tanpa info,tidak_ada_respon
"pindah rumah, shg lokasi date jauh dari rumah",lokasi
DATE saat ini bukan prioritas untuk Nita,others
other,others
meninggal dunia,others
salah klik accept 2x,Admin
Mau ganti Akun,Admin
Devi pindah ke Bali for good,lokasi
other,others
other...,others
Andrew mencari DATE yg full onsite,alasan_date
Meninggal dunia.,others
belum bisa komitmen,others
"Jarang sekali hadir , lebih dari 3 bulan tidak hadir",tidak_ada_respon
sudah menemukan DATE baru yg cocok,alasan_date
date member meminta untuk off,others
Yudith kembali ke Sumatera Utara for good,lokasi
pindah ke Aussie,lokasi
indikasi mencari keuntungan dgn cara tidak benar,others
DM ybs pindah keluar kota (bali),lokasi
keluarga tidak mengijinkan ke Kristen,others
"Mutasi Pekerjaan ke kota lain, dan tertanam di Gereja lain",tertanam_di_gereja_lain
"Katanya sudah tidak nyaman di date, pas saya tanyain tidak ada respon sama sekali lagi. Saya sendiri tidak tahu alasannya kenapa dia keluar dan ga nyaman",tidak_ada_respon
anak dari DL,Admin
anak dari DL,Admin
Sinta pilih keluar Date karena marah ditegur DL tidak boleh pendekatan dg suami orang,alasan_date
DF hanya cover DATE sementara saja,alasan_date
memilih tempat date lain untuk bertumbuh dan sudah hibernasi selama 9 bulan,alasan_date
"beda musim jadinya gak pernah datang dan susah berkomunikasi, sudah coba berkomunikasi tapi tidak terlalu ada hasil",tidak_ada_respon
domisili luar kota,lokasi
Tidak ada pertumbuhan dan tidak ada relationship dengan DM lain,alasan_date
Tidak ada pertumbuhan dan tidak ada relationship dengan DM lain,alasan_date
"Amggie memutuskan utk fokus bekerja skrg krn byk business trip jg ke luar kota, jd gak bisa DATE dl",waktu_tidak_sesuai
pindah date area lokasi tapi gak bisa ditrasfer jadinya delete dulu biar DL nya bisa add sendiri,Admin
mengundurkan diri,others
"jarang beribadah di JPCC namun beribadah di gereja lain, dan jadwal DATE sering terbentur dgn pekerjaan.",tertanam_di_gereja_lain
"jarang beribadah di JPCC dan jarang hadir dalam DATE, namun beribadah di gereja lain atas permintaan orang tua.",tertanam_di_gereja_lain
Pindah ke Date yang lain,alasan_date
Pindah ke Date yang lain,alasan_date
Pindah ke luar kota (Magelang).,lokasi
"baru putus, then felt lost. Uda dikasih kesempatan tetap join di DATE tp menolak.",others
double data,Admin
DM pindah ke luar negeri for good,lokasi
pindah kota,lokasi
seharusnya Masih probation tapi Salah accept,Admin
Sudah pulang ke Rumah Bapa.,others
Pindah ke date yang online/hybrid,alasan_date
pindah ke date yang online/hybrid,alasan_date
"mau cari date yg online, tapi mau cari sendiri",alasan_date
"Kak Ine berpindah tugas di Kupang untuk beberapa tahun ke depan dan belum ada kepastian kapan waktunya. sehingga telah disepakati antara DM,DL dan DF untuk mendoakan ybs untuk tertanam di gereja lokal lain di sana. Thank you",lokasi
"sudah lebih dari 4 bulan Sem & Lena ga ikut date. dan secara personal susah dihubungi. sudah beberapa kali saya ajak ketemuan 1on1 tapi ga ada respon. whatsapp juga sering tidak dibalas dan klo dibalas pun butuh beberapa hari. Saat ini Lena juga sudah working full time di lampung, jadi sudah tidak di jakarta. Sebelumnya mereka bergumul perihal keuangan karena Sem sudah tidak bekerja. Kondisi terakhir Sem ada meminjam uang dari saya. Dan saya sudah berusaha untuk memberikan support sebaik kemampuan saya.",tidak_ada_respon
pindah ke pekanbaru,lokasi
akan berpindah gereja di tempat calon suami nya dan rencana akan tertanam disana juga.,tertanam_di_gereja_lain
under probation,Admin
Beliau sudah kembali ke rumah Bapa di sorga,others
sudah meninggal,others
pindah negara,lokasi
"Sistem otomatis menaikan status menjadi DM. Seharusnya tetap probation. Sudah membuat tiket resolve, dan diminta remove manual",Admin
kembali ke surabaya,lokasi
pindah ke Bali,lokasi
member memutuskan untuk pindah gereja,tertanam_di_gereja_lain
Pindah ke Malaysia,lokasi
pindah ke Malaysia,lokasi
pindah date ke sudirman 17,alasan_date
pindah date,alasan_date
Pindah Gereja,tertanam_di_gereja_lain
"ingin join Date Married Couple, rencana join ke Date baru (Brenda Yohan) kemungkinan akhir tahun",alasan_date
"ingin join Date Married Couple, rencana join ke Date baru (Brenda & Yohan) mungkin akhir tahun",alasan_date
hans pindah ke date istri di gading serpong 33,alasan_date
Jarang Hadir & Melihat anggotanya banyak couple,tidak_ada_respon
melanjutkan S2 ke USA,lokasi
salah pencet harusnya probation dulu,Admin
belum tertanam di gereja,tidak_ada_respon
masih belum dapat rutin hadir DATE,waktu_tidak_sesuai
meninggal dunia,others
"seperti ada kesalahan sistem di myjpcc, tiba2x masuk disistem setelah salah satu DM transfer dr date lama ke date sy",Admin
"Mau bertumbuh di DATE yg lain, karena perbedaan visi DATE dgn DM",alasan_date
tidak permah,others
menikah dan pindah keluar kota,lokasi
"Sejak Februari tidak hadir di DATE, di WA tidak merespon & ditelefon tidak diangkat.",tidak_ada_respon
Move to another Church,tertanam_di_gereja_lain
Move to another Church,tertanam_di_gereja_lain
sudah tidak di jakarta,lokasi
sudah tidak di jakarta,lokasi
tidak ada date member tsb,Admin
salah pencet hrsnya accept probation,Admin
Must probation,Admin
diwakili oleh istri,others
diwakili oleh suami,others
diwakili oleh suami,others
"salah masukin. harus nya orang tua, tapi di bikin spouse",Admin
for good ke timika,lokasi
komit untuk stay di Date GS 30,alasan_date
"Minta keluar DATE krn lack of commitment & punya alasan, mulai WFO lg jd merasa kecapaian bgt kl DATE",waktu_tidak_sesuai
melanjutkan studi S2 ke negara lain,lokasi
Desi menikah tanggal 18 Mei 2024 di Bandung & tinggal bersama suaminya di Bandung. Dia akan mencari komunitas di Gereja Lokal.,lokasi
DM diluar kota dan jarang bisa mengikuti Date,lokasi
Pindah ke komunitas gereja lainnya,tertanam_di_gereja_lain
pindah ke luar negeri,lokasi
pindah ke luat negeri untuk melanjutkan pendidikan,lokasi
sudah meninggal :'(,others
Tidak pernah hadir (lebih dr 6 bulan) dan group perlu tambah member baru,tidak_ada_respon
S2 d luar negeri,lokasi
pindah Date baru,alasan_date
"Double Account, sudah dipastikan yang aktif adalah akun yang satunya (gmail). -Bintoro",Admin
Bergumul dengan diri sendiri dan ada suatu hal yg tidak bisa diceritakan,others
Terkendala jarak dan waktu dalam beberapa waktu terakhir,waktu_tidak_sesuai
Pindah kota (ke Bali),lokasi
date akan berpindah,alasan_date
Felicia telah menemukan gereja lain yang lebih cocok dengan hatinya dan memilih untuk bergereja di sana. Felicia permisi dengan baik baik dengan teman-teman saat DATE.,tertanam_di_gereja_lain
"dm minta sendiri, krn ga mungkin bersama lagi dengan suaminya (proses pengadilan perceraian)",perbedaan_musim_kehidupan 
Pindah ke Australia,lokasi
pindah ke australia,lokasi
mau cari date married couple krn sudah menikah,alasan_date
pindah keluar negeri,lokasi
Sesuai dengan keputusan sendiri,others
Pindah keluar kota.,lokasi
Sudah pindah ke USA,lokasi
kepencet 3x (duplicate data),Admin
kepencet 3x (duplicate data),Admin
Permintaan dari DM melalui DATE Support. (Alasan: Sudah request DL namun belum di remove),Admin
date tutup,alasan_date
pindah ke date lain,alasan_date
menggunakan akun yg lain,Admin
member melanjutkan studi di luar negri,lokasi
dipanggil Tuhan,others
menghapus testing dari skybridge,Admin
Permintaan Ybs karena sudah jarang dan tidak pernah ke JPCC lagi dan jarang DATE karena alasan pekerjaan,waktu_tidak_sesuai
mau off date dlu sebelum pindah ke date couple,alasan_date
sekolah dan pindah ke luar negeri,lokasi
"pindah ke date lain, date cempaka putih 03",alasan_date
pindah Date untuk pernikahan,alasan_date
pindah gereja yg dekat tempat tinggal,tertanam_di_gereja_lain
aplikasi error seharusnya visitor,Admin
ingin pindah,others
Pindah tempat tinggal ke Luar Kota,lokasi
istri dari yanto (dater),alasan_date
salah accept ke date member. seharusnya kevin wangsa,Admin
Maaf teman2 date saya blm bisa ikut in onsite n online juga tdk setiap mgg saya mau undur dr date ini terima kasih semu teman2 yg selama ini sdh menerima saya ngikutin date ini Tuhan berkati,alasan_date
mau coba visit tempat lain,others
Pindah dan menetap di kota Surabaya per 1 Juni 2024,lokasi
salah data,Admin
double data,Admin
double,Admin
double data,Admin
Ingin mencari Date lain yang lebih sesuai dengan musim kehidupannya.,alasan_date
request by date member,others
request by date member,others
pindah domisili,lokasi
"wrongly approved, visitor only",Admin
"Tiba2 ada di dalam list member, sebelumnya tidak pernah",Admin
kerja di luar negri,lokasi
"Hendrawan & istri sudah pindah ke DATE KELAPA GADING 61 namun DL menginformasikan disana sudah penuh, hanya bisa menerima istrinya saja masuk ke myjpcc. DLnya menyarankan utk remove saja dari KG43.",Admin
Tdk bs date lg krn pindah kerja ke Bali,lokasi
Pindah domisili ke Batam karena penempatan dari perusahaan tempat bekerja. Telah didampingi proses transisi hingga tertanam di Gereja/komunitas yang baru di Batam,lokasi
"pindah tempat tinggal, jadi sudah pindah DATE baru.",lokasi
Permintaan dari DM,others
meminjam uang kepada member dan menggunakan nama member lain sebagai jaminan untuk meminjam uang kepada teman lainnya,others
pindah gereja karena susah dapat tiket anak2.,tertanam_di_gereja_lain
pindah gereja karena susah dapat tiket anak2.,tertanam_di_gereja_lain
yang aktif hanya istrinya,others
pindah ke kota lain,lokasi
"kehadiran di date kurang, namun pelayanan aktif",tidak_ada_respon
"kehadiran di date kurang, namun pelayanan aktif",tidak_ada_respon
tidak pernah hadir dan pindah ke gereja lain,tertanam_di_gereja_lain
tidak pernah hadir dan pindah ke gereja lain,tertanam_di_gereja_lain
duplicate data,Admin
saya sudah tidak menjadi DL lagi,alasan_date
saya sudah tidak menjadi DL lagi,alasan_date
saya sudah tidak menjadi DL lagi,alasan_date
saya sudah tidak menjadi DL lagi,alasan_date
Meninggal,others
"jarak dengan date jauh, sdh bbrpa bulan off, diarahkan ke date lain dan ybs ok",alasan_date
"bentrok waktu dengan pekerjaan, sdh diarahkan mencari date lain yg waktunya pas dan masih mencoba",waktu_tidak_sesuai
"Saya tidak sanggup untuk menjadi DL bagi saudari Septi atas permasalahan psikologisnya. sudah dicoba ditawarkan tetap menetap di DATE dengan pendampingan dari tim konselor JPCC, namun ditolak.",alasan_date
saya sudah tidak menjadi DL lagi,alasan_date
saya sudah tidak menjadi DL lagi,alasan_date
saya sudah tidak menjadi DL lagi,alasan_date
saya sudah tidak menjadi DL lagi,alasan_date
saya sudah tidak menjadi DL lagi,alasan_date
Setelah menikah pindah ke luar kota mengikuti suami.,lokasi
Double akun,Admin
lagi stay di luar kota,lokasi
"lagi berada di Luar negeri, sementara off dulu",lokasi
ganti sccount,Admin
salah add family member,Admin
pindah keluar negeri tapi masih tetap di WAG.,lokasi
Double Role,Admin
Double account,Admin
beribadah di gereja lain,tertanam_di_gereja_lain
sudah menikah dan pindah ke DATE Kelapa Gading 7,alasan_date
sudah meninggal,others
for good ke sydney,lokasi
"perbedaan musim kehidupan, sudah tidak pernah hadir, slow respon, sudah mengatakan tidak bisa bergabung lagi didate sampai saat ini.",perbedaan_musim_kehidupan 
akan pindah ke date married couple di tebet,alasan_date
pindah ke Sumba (NTT),lokasi
pindah ke australia,lokasi
pindah ke australia,lokasi
sudah pindah kerja ke surabaya kurang lebih setahun dan sudah ikut gereja disana.,lokasi
memutuskan untuk bertumbuh dgn caranya,others
double id or account,Admin
salah tekan,Admin
Sudah di rumah Bapa di Sorga,others
sedang ada masalah pribadi dan blm bs diceritakan ke saya dan vina decide utk quit dr date,others
Re-register,Admin
sudah kembali lagi ke agama lama krn faktor tidak ada pilihan lain yakni tuntutan keluarga yg memaksakan utk kembali ke agama lain.,others
domisili di Pontianak,lokasi
double user login,Admin
salah orang,Admin
"Pindah ke GMS, ikut calon suami kareba ada rencana menikah bln Feb 25",tertanam_di_gereja_lain
mencari date khusus married couple,alasan_date
pindah keluar kota,lokasi
mencari date yang lebih sesuai dengan jadwal,waktu_tidak_sesuai
pindah ke kota Lampung,lokasi
tekan accept 2x,Admin
Komitmen kehadiran rendah. Sudah diingatkan namun tidak menunjukkan perubahan.,tidak_ada_respon
double account,Admin
rencana untuk pindah ke date baru yang lebih deket ke rumah mereka,alasan_date
pindah ke luar kota,lokasi
double account,Admin
double,Admin
salah klik masih probition,Admin
Izin keluar dari Date,others
Data double,Admin
mencari komunitas yg tepat,others
HP saya bermasalah harusnya masuk probation tiba2 ke klik 2 kali,Admin
menetap di Australia,lokasi
salah data salah salah akun,Admin
date akan ditutup,alasan_date
date akan ditutup,alasan_date
date akan ditutup,alasan_date
date akan ditutup,alasan_date
date akan ditutup,alasan_date
date akan ditutup,alasan_date
pindah ke date lain karena waktunya lebih sesuai dan sudah mendaftar dgn email lain,waktu_tidak_sesuai
CT/DM pindah ke negara lain (US) sejak Maret 2024. Thankyou,lokasi
Pindah negara,lokasi
double data,Admin
Suwanto udah berpulang ke rumah Bapa,others
CT sudah naik jadi DL,alasan_date
DL sudah ada,alasan_date
date leader dalam proses pengunduran diri,alasan_date
date leader dalam proses pengunduran diri,alasan_date
ada 2 akun jadi 1 akun di remove,Admin
harus masuk probation dulu,Admin
Meninggal dunia,others
memilih ikut pelayanan di gereja lama bersama istri,tertanam_di_gereja_lain
Pindahaa ke Date lain,alasan_date
perpindahan date member untuk proses pengunduran diri DATE Leader,alasan_date
pindah ke date couple namun tdk bs transfer krn date tujuan tdk ditemukan di app,alasan_date
pindah ke date couple namun tdkb bs transfer krn date tujuan tdk ditemukan di app,alasan_date
"mau pindah ke date lain karena masalah tempat tinggal , mencari yg lebih dekat",alasan_date
Fokus karir dahulu dan pindah rumah ke JGC Jakarta Timur,perbedaan_musim_kehidupan 
memilih untuk gereja ditempat lain,tertanam_di_gereja_lain
DM ingin DATE offline,alasan_date
mau pindah ke date lain,alasan_date
mau pindah ke date lain,alasan_date
Pindah ke date istri,alasan_date
Pindah kerja ke Surabaya,lokasi
human error. salah klik harusnya tetap sebagai new comer,Admin
Menikah dan pindah keluar kota,lokasi
tercatat double,Admin
"Sudah tidak pernah ikut DATE sejak Oct 2023 & tdk pernah di respons jg pas WA, cm di Read",tidak_ada_respon
Pindah ke luar kota,lokasi
sibuk magang dan jarang hadir,waktu_tidak_sesuai
"Sudah setahun lebih tidak pernah join date, sudah pindah gereja.",tertanam_di_gereja_lain
date member mutasi kerja ke sulawesi,lokasi
"tdk commit,suka berbohong dan tdk menghormati keberadaan DM lain",alasan_date
"Florence dipanggil Tuhan pada hari Selasa, 20 Februari 2024 karena CA Servix. May she RIP ?",others
mau ganti email,Admin
Bekerja di luar kota,lokasi
menyatakan mundur dari Date,others
yang bersangkutan memutuskan untuk bertumbuh di gereja lain,tertanam_di_gereja_lain
Almarhum meninggal dunia karena serangan jantung,others
pindah ke gereja lain,tertanam_di_gereja_lain
sudah meninggal di Oktober 2023 kemarin.,others
pindah gereja krn anak tdk bisa sekolah minggu,tertanam_di_gereja_lain
pindah gereja krn anak tdk bisa sekolah minggu,tertanam_di_gereja_lain
saat ini kevin tidak dapat mengikuti date onsite karna masih bekerja di daerah gresik surabaya dan tidak dapat menghadiri date online karena pekerjaannya yang sering lembur.,lokasi
Mau coba cari date baru dengan orang2 yang 1 bidang pekerjaan.,alasan_date
member jarang hadir date dan request untuk keluar dari date,tidak_ada_respon
Kepencet dan masih calon DM yg masih mau coba visit DATE lain,Admin
Test,Admin
mau ditransfer ke date lain,Admin
mau ditransfer ke date lain,Admin
"Joined DATE ternyata krn butuh surat keterangan berjemaat utk nikahnya. Setelah menikah, MIA. Di WA berkali2, hanya di Read, gak pernah dibalas.",tidak_ada_respon
"Selain tidak ada respon lagi, juga tidak pernah hadir lg di pertemuan onsite/online. Kmi berdoa dia tetap bisa bertumbuh di tmpt lain.",tidak_ada_respon
kesibukan kerjaan dan belum bisa berkomitmen hadir,waktu_tidak_sesuai
kesibukan kerjaan dan belum bisa berkomitmen hadir,waktu_tidak_sesuai
entah mengapa ada 1 member dengan 2 akun disini dengan email yg sama,Admin
Already given chance within 2 months but she didnt show up in the given time.,tidak_ada_respon
already given chance to come within 2 months but he didnt show up.,tidak_ada_respon
"DM sudah menikah, dan ingin mencari date married couple,. sudah saya bantu carikan tapi sepertinya kutang cocok dan DM ingin cari sendiri",alasan_date
DL resign krn pindah ke LN,alasan_date
DL resign krn pindah ke LN,alasan_date
DL resign krn pindah ke LN,alasan_date
DL resign krn pindah ke LN,alasan_date
DL resign krn pindah ke LN,alasan_date
DL resign krn pindah ke LN,alasan_date
DL resign krn pindah ke LN,alasan_date
DL resign krn pindah ke LN,alasan_date
DL resign krn pindah ke LN,alasan_date
Mau mencari date lain,alasan_date
Mau mencari date lain,alasan_date
Mau mencari date lain,alasan_date
double entry karena kesalahan alamat email,Admin
Mencari Date lain,alasan_date
pindah kota dan pindah gereja,tertanam_di_gereja_lain
akan pindah gereja lain karena persiapan pernikahan,tertanam_di_gereja_lain
salah alamat email,Admin
"ada date member sdh 2 thn join tp tdk bs join date di myjpcc krn sdh penuh, sementara spouse ini tdk pernah ikut date meeting",tidak_ada_respon
"ada member yg sdh 2 thn join tdk bs join date krn penuh, sementara spouse ini tdk pernah ikut date meeting",tidak_ada_respon
ganti akun myjpcc,Admin
pindah Date,alasan_date
Memiliki perbedaan nilai dengan JPCC,others
merasa kurang cocok,others
menikah dan pindah negara,lokasi
akan pindah ke date KG6. DL KG6 akan invite Venny,alasan_date
mau pindah date yg lebi sesuai waktu & kebutuhan.,waktu_tidak_sesuai
Meninggal Dunia karena sakit kanker.,others
"Ada habit pinjam uang dan sudah di kasih tapi terus terusan , akhirnya kami cari tau ke DL sebelumnya ternyata memang habit nya seperti itu dan di sarankan untuk di Cut saja",alasan_date
mau di provide sebagai core team tetapi dia terlalu �rohani� sehingga ketika ada ketidakcocokan dia langsung mengundurkan diri tanpa may membuka ruang untuk berkomunikasi.,alasan_date
domisili pindah ke jawatimur,lokasi
buat akun baru,Admin
Pindah keluar kota,lokasi
date akan ditutup dan member ingin mencari date lain,alasan_date
Pindah ke Melbourne for good,lokasi
pindah dan menetap di luar negeri,lokasi
"Lokasi DATE pindah, dan yang bersangkutan memutuskan untuk mencoba DATE lain yang lebih memungkinkan untuk alasan lokasi",alasan_date
lokasi date pindah dan yang bersangkutan memutuskan untuk mencoba DATE lain yang lebih dekat lokasiny dgn kantor/ tempat tinggal.,alasan_date
Menikah & Pindah Ke Tasikmalaya ikut Suami,lokasi
Steffi dan Aldwin sudah keluar dari date dan mau mencari Date lain yang sesuai dengan waktu mereka,alasan_date
Steffi dan Aldwin sudah keluar dari date dan mau mencari Date lain yang sesuai dengan waktu mereka,alasan_date
pindah domisili,lokasi
pindah domisili,lokasi
Kembali ke Singapore,lokasi
pindah date muara karang 8,alasan_date
berhalangan krn suami belum tertanam di gereja,others
"DL resign, nomor DM tidak bisa dihubungi",alasan_date
DL dinonaktifkan. DM tidak merespon saat dikonfirmasi mau pindah date/bagaimana,alasan_date
DL dinonaktifkan. DM bilang mau stop date dulu,alasan_date
pindah ke NTT,lokasi
DL dinonaktifkan. DM tidak merespon saat dikonfirmasi mau pindah date/bagaimana,alasan_date
sudah pindah luar jakarta,lokasi
DL dinonaktifkan. DM tidak merespon saat dikonfirmasi mau pindah date/bagaimana,alasan_date
DL dinonaktifkan. DM tidak merespon saat dikonfirmasi mau pindah date/bagaimana,alasan_date
Lokasi dan waktu yang tidak sesuai,waktu_tidak_sesuai
Pindah ke luar kota untuk menetap di sana,lokasi
Pindah ke luar kota untuk menetap di sana,lokasi
Tidak bisa berkomitmen lagi di dalam Date,waktu_tidak_sesuai
"Mengatakan bahwa pastor2 di jpcc hutang darah (yg artinya tidak selamat/binasa/masuk neraka). Dan mengatakan bahwa melakukan yoga adalah penyembahan berhala. Selalu mengatakan tentang kutuk, hukuman Tuhan, murka Tuhan, dan segala sesuatu yg tidak sesuai pendapat dia asalnya adalah dari iblis. Tertanam di yayasan mahanaim/bahtera ministry yg dimiliki oleh iin cipto",others
"Mengatakan bahwa pastor2 di jpcc hutang darah (yg artinya tidak selamat/binasa/masuk neraka). Dan mengatakan bahwa melakukan yoga adalah penyembahan berhala. Selalu mengatakan tentang kutuk, hukuman Tuhan, murka Tuhan, dan segala sesuatu yg tidak sesuai pendapat dia asalnya adalah dari iblis. Tertanam di yayasan mahanaim/bahtera ministry yg dimiliki oleh iin cipto",others
pindah kota,lokasi
Pindah kota,lokasi
tidak mau berkomitmen lagi dan mencoba pindah ke Date lain,alasan_date
DL dalam proses mengundurkan diri,alasan_date
DL dalam proses mengundurkan diri,alasan_date
tidak mau berkomitmen lagi dalam Date dan sudah kurang lebih 3 bulan tidak join Date,tidak_ada_respon
tidak tahu ini siapa,Admin
ganti email dan akun baru,Admin
DL step down from the role.,alasan_date
pindah ke glc7. namun di list gak ada. nanti diinvite Ama glc7,alasan_date
sudah pindah kota,lokasi
ada ketidakcocokan dengan budaya date dan beberapa DM.,alasan_date
date member sudah tidak di Jakarta lagi,lokasi
mau mencari date yang baru,alasan_date
pengunduran diri DL,alasan_date
pengunduran diri DL,alasan_date
jarang hadir,tidak_ada_respon
jarang hadir,tidak_ada_respon
fokus di karir,waktu_tidak_sesuai
tidak ingin bergabung di Date karena merasa bergereja sudah cukup baginya,others
"saya dalam proses resign dari posisi DL dan teman date saya, Joshua mau mencari date lain.",alasan_date
Pindah ke Manado,lokasi
pindah ke katolik mengikuti suami,tertanam_di_gereja_lain
double data,Admin
DF hanya menggantikan sementara sampai DATE di takeover oleh DL,alasan_date
pindah ke Luar Negri,lokasi
keduanya memutuskan tidak mau ikut date lagi,others
pindah ke US,lokasi
memutuskan tidak aktif,tidak_ada_respon
test,Admin
DL tidak aktif,alasan_date
test,Admin
DATE Leader akan mengundurkan diri dan mau mencari DATE lain,alasan_date
DATE Leader akan mengundurkan diri dan mau mencari DATE lain,alasan_date
DATE Leader akan mengundurkan diri dan mau mencari DATE lain,alasan_date
test,Admin
"emma sudah hampir setahun tidak datang date tidak bertemu dengan DL atau member date, saat ini pekerjaannya menuntut untuk bolak balik ke kalimantan... dan rencana masih setahun kedepan akan sprt ini... berat memang melepas anak dm. tapi saya berharap semua anak date bertumbuh dan berbuah. bagaimana mau bertumbuh jika tidak pernah bertemu..... oleh karena itu saya sudah berkonsultasi juga dengan DF mengenai status emma... jauh, tidak pernah datang jadinya dan agak sulit dihubungi (baru akhir2 ini agak gampang di wa chat).... saya memberikan kesempatan ema untuk bertumbuh di tmpt dimana dia banyak berada sekarang dan mengizinkan untuk masuk date lagi setelah dia kembali ke jkt. selain itu saya ingin anak date member lain juga tidak merasa aneh dengan dizinkannta member tidak datang tapj terus tertanam dalam myjpcc. karena itu saya memutuska untuk saat ini me remove emma dahulh",perbedaan_musim_kehidupan 
Hampir 1 thn tidak hadir,tidak_ada_respon
Pasangan bermasalah dgn group krna si istri penuh dgn prasangka buruk & minta sebagai yg paling di respect. Smntara suami tdk bs ambil keputusan/alasan selain vacum & tdk mau berkomunitas Gereja lg. Kmi lbh baik selamatkan CR2 drpd couple tsb. Tmksh,alasan_date
test,Admin
sudah jadi pastor,others
meninggal dunia,others
test,Admin
"Date Tidak Aktif, mencari Date Baru.",alasan_date
"Date Tidak Aktif, mencari Date Baru.",alasan_date
"Date Tidak Aktif, mencari Date Baru.",alasan_date
"Date Tidak Aktif, mencari Date Baru.",alasan_date
"Date Tidak Aktif, mencari Date Baru.",alasan_date
"Date Tidak Aktif, mencari Date Baru.",alasan_date
"Date Tidak Aktif, mencari Date Baru.",alasan_date
"Date Tidak Aktif, mencari Date Baru.",alasan_date
double,Admin
Sudah bukan DM lagi,alasan_date
mengundurkan diri sukarela,others
Mengundurkan diri sukarela,others
"kami doubel klik di request, harusnya Calon DM ms probation, tp tdk sengaja ke klik approve msk jd DM",Admin
berpindah agama,others
mengundurkan diri,others
mengundurkan diri,others
pindah gereja,tertanam_di_gereja_lain
"Lidya tidak pernah hadir. Terakhir di hubungi infonya sibuk bekerja. Sering pindah pekerjaan dan tempat tinggal. Pernah mengajukan bantuan finansial ke JPCC peduli covid tanpa diskusi dgn DL. Apabila kemudian ia mencari date lain, mungkin perlu menjadi concern kondisinya yg perlu kesembuhan dari gangguan kejiwaan (alasan utama karena sulit mengampuni kakak²nya dan berdamai dgn diri sendiri).",others
Nico hanya aktif hadir virtual date di tahun pertama (2020) sehingga pada tahun 2022 kami membatalkan rekomendasi utk pelayanan hospitality yg sudah diajukan sebelum pandemik terjadi. Pertimbangan kami adalah karena ketidakhadiran dia di date serta sering tidak mengikuti online service JPCC. Hal ini menyebabkan ketika hadir pun juga tidak inline dgn materi pembahasan di date.,tidak_ada_respon
sejak November 2021 sudah tidak pernah join ibadah Date ataupun aktifitas lainnya di Date Taman Anggrek 13 dan tdk join ibadah JPCC sejak tahun lalu,tidak_ada_respon
"sudah tidak hadir di date sejak bulan Mei 23. No info, telp tdk dijawab. Wa slow respon.  Divisit juga tdk mau.",tidak_ada_respon
Sekolah di Jerman (Nuremberg),lokasi
sekolah keluar negeri,lokasi
DM pindah kota,lokasi
"sudah 3 bulan lebih tidak hadir karena bentrok dgn kerjaan. sudah di encourage untuk ikut DATE lain, dan belum bisa komit untuk ikut DATE",waktu_tidak_sesuai
"awalnya memilih pindah date krn alasan tidak cocok waktunya. setelah dilayani mencari alternatif date lain, akhirnya memilih tertanam di komunitas lain di luar jpcc",tertanam_di_gereja_lain
putus dengan pacar yg date member dan tidak ada respon,tidak_ada_respon
pindah ke Australia.,lokasi
double email,Admin
"tidak bisa hadir karena pekerjaan, perbedaan usia dan pemahaman yang cukup signifikan dengan anggota DATE lainnya",waktu_tidak_sesuai
Merasa tidak nyambung dgn komunitas yg diharapkan jadi 2nd home.,alasan_date
"sudah tidak aktif. beberapa masalah inter personal dengan member lain, belum diselesaikan",alasan_date
S2 ke luar negeri,lokasi
member pindah ke bali tapi masih keep contact,lokasi
Ruth mengajukan pengunduran diri krn sedang mengalami masalah dgn date member lain. Tujuan pengunduran diri ini adalah agar bs fokus utk menyelesaikan masalah yg sedang terjadi.,others
Sudah meninggal dunia,others
Move to Kualalumpur,lokasi
mau keluar dari DATE karena sedang fokus mengurus pernikahan. tidak fokus ke DATE dulu. setelah menikah mau ke married couple,perbedaan_musim_kehidupan 
mau regis ulang pk email lain,Admin
testing,Admin
ingin mencoba date lain karna ada perbedaan pendapat dengan DL,alasan_date
sdh ada terdaftar dalam email yg berbeda,Admin
pindah ke luar negeri,lokasi
lanjut studi S3 di Hongkong,lokasi
lanjutkan studi S3 di Hongkong (HKUST),lokasi
Mau mencoba mencari cari date lain,alasan_date
date leader rubah ke merried couple,alasan_date
Memutuskan untuk keluar DATE,others
pindah ke DATE lain,alasan_date
menikah dan menetap di Bali,lokasi
double profile,Admin
personal,others
sudah terdaftar sebelumnya,Admin
orang tua date member,Admin
merasa tdk nyaman karena status dan merasa sulit untuk beradaptasi.,others
Pindah ke Australia (Port Macquarie),lokasi
Pindah ke Australia (Port Macquarie),lokasi
DM ganti HP dan email baru?,Admin
